"airport","month","year","airport_name","usfws_region","state","latitude","longitude","month_year","strike","strike_size_small","strike_size_medium","strike_size_large","strike_size_unknown","disruptive","air_carrier_itinerant_movements","air_taxi_itinerant_movements","general_aviation_itinerant_movements","military_itinerant_movements","civil_local_movements","military_local_movements","total_movements","covid","covid_month"
"ATL",1,2014,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Jan 2014",3,1,0,1,1,0,54937,12708,673,25,0,0,68343,0,0
"ATL",1,2015,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Jan 2015",9,5,2,0,2,2,60135,8856,611,15,0,0,69617,0,0
"ATL",1,2016,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Jan 2016",4,3,1,0,0,0,62288,7650,593,22,0,0,70553,0,0
"ATL",1,2017,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Jan 2017",3,3,0,0,0,0,62552,7330,625,11,0,0,70518,0,0
"ATL",1,2018,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Jan 2018",9,7,1,0,1,0,61966,7166,690,6,0,0,69828,0,0
"ATL",1,2019,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Jan 2019",7,5,1,1,0,0,64792,6522,620,18,0,0,71952,0,0
"ATL",1,2020,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Jan 2020",9,6,2,0,1,0,65997,7070,412,14,0,0,73493,0,0
"ATL",10,2014,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Oct 2014",17,10,3,1,3,2,64867,8600,840,23,0,0,74330,0,0
"ATL",10,2015,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Oct 2015",22,19,0,0,3,2,67488,7384,734,5,0,0,75611,0,0
"ATL",10,2016,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Oct 2016",20,15,0,0,5,0,67383,7649,726,16,0,0,75774,0,0
"ATL",10,2017,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Oct 2017",31,26,2,0,3,1,66905,7106,698,11,0,0,74720,0,0
"ATL",10,2018,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Oct 2018",38,29,0,1,8,3,68072,7004,728,10,0,0,75814,0,0
"ATL",10,2019,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Oct 2019",56,40,0,1,15,2,68850,7058,563,20,0,0,76491,0,0
"ATL",10,2020,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Oct 2020",23,18,0,1,4,2,42866,4138,343,12,0,0,47359,1,8
"ATL",11,2014,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Nov 2014",7,5,1,1,0,0,60775,7801,624,11,0,0,69211,0,0
"ATL",11,2015,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Nov 2015",13,11,1,0,1,0,64438,6913,596,20,0,0,71967,0,0
"ATL",11,2016,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Nov 2016",12,10,1,0,1,0,63698,7365,548,12,0,0,71623,0,0
"ATL",11,2017,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Nov 2017",33,28,1,2,2,2,63748,6272,532,25,0,0,70577,0,0
"ATL",11,2018,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Nov 2018",28,21,1,4,2,2,64457,6775,695,23,0,0,71950,0,0
"ATL",11,2019,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Nov 2019",15,11,2,0,2,0,63830,6628,506,51,0,0,71015,0,0
"ATL",11,2020,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Nov 2020",20,16,3,0,1,1,44375,4448,217,21,0,0,49061,1,9
"ATL",12,2014,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Dec 2014",10,7,2,0,1,0,62299,8508,573,12,0,0,71392,0,0
"ATL",12,2015,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Dec 2015",6,5,0,0,1,0,64543,7896,603,25,0,0,73067,0,0
"ATL",12,2016,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Dec 2016",13,7,2,1,3,1,64321,7642,569,32,0,0,72564,0,0
"ATL",12,2017,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Dec 2017",13,8,3,1,1,0,62028,6810,565,25,0,0,69428,0,0
"ATL",12,2018,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Dec 2018",10,9,0,0,1,0,65268,6948,499,24,0,0,72739,0,0
"ATL",12,2019,"Hartsfield Jackson Atlanta International Airport","Southeast","GA",33.6367,-84.428101,"Dec 2019",8,5,2,1,0,0,66319,7355,470,19,0,0,74163,0,0
