state,traffic_2019,traffic_2020,perc_change,mar_to_dec_traffic_2019,mar_to_dec_traffic__2020,mar_to_dec_perc_change
AL,284542,224115,-21.2365837,241436,182624,-24.35925048
AR,234569,196402,-16.27111852,202612,160761,-20.65573609
AZ,2697609,2361781,-12.44909844,2277106,1876567,-17.58982674
CA,7099414,5646962,-20.45875899,6084021,4467694,-26.56675577
CO,1499562,1308926,-12.7127788,1285584,1074013,-16.45718988
CT,354189,318437,-10.09404583,307556,267731,-12.94886135
DC,295455,131865,-55.36883789,249150,83044,-66.66907485
DE,42287,29291,-30.73284934,35786,24544,-31.41451964
FL,6653127,5310891,-20.17451343,5536836,4155504,-24.94803892
GA,1573377,1118890,-28.88608388,1349625,880303,-34.77425211
IA,218993,180093,-17.76312485,192766,148671,-22.87488458
ID,266939,237466,-11.04109928,231870,198314,-14.47190236
IL,1938405,1387478,-28.42166627,1691118,1110918,-34.30866445
IN,608865,495767,-18.57521782,533648,410357,-23.10343148
KS,327778,302638,-7.669825309,290460,258366,-11.04936996
KY,538459,443125,-17.70496918,465161,363397,-21.87715651
LA,578735,418655,-27.66032813,492960,330761,-32.9030753
MA,1019523,722847,-29.09949064,892667,579794,-35.04924009
MD,581355,451006,-22.42158406,503064,368691,-26.71091551
ME,92381,61545,-33.37915805,81850,49280,-39.79230299
MI,1159611,858611,-25.9569804,1014703,700394,-30.9754677
MN,787210,620536,-21.17274933,689109,509880,-26.00880267
MO,646983,481106,-25.63854073,558856,383365,-31.40182802
MS,247384,225709,-8.761682243,215483,189577,-12.0222941
MT,332243,315776,-4.956312097,289754,268193,-7.441139725
NC,1269052,932706,-26.50372089,1078763,734887,-31.87688121
ND,437504,370400,-15.33791691,390766,308056,-21.16611988
NE,155761,131140,-15.8069093,133959,107075,-20.06882703
NH,161190,138557,-14.04119362,142413,114110,-19.87388792
NJ,923183,549619,-40.46478326,790441,407819,-48.4061429
NM,300312,258178,-14.03007539,255622,212097,-17.02709469
NV,915437,625250,-31.69928679,779485,474530,-39.12262584
NY,1866373,1110174,-40.51703491,1608344,835579,-48.04724611
OH,694465,520512,-25.04849056,606461,427079,-29.57848897
OK,549755,457269,-16.8231303,473028,371092,-21.54967571
OR,818416,661230,-19.206125,717504,554985,-22.65060543
PA,1097265,753884,-31.29426346,949069,596409,-37.15852061
RI,69438,45755,-34.1066851,59898,35724,-40.35860964
SC,495232,401700,-18.88650168,436979,339961,-22.20198225
SD,101611,94601,-6.898859375,88200,79262,-10.13378685
TN,800308,701215,-12.38185798,684377,580345,-15.20097841
TX,4547069,3682824,-19.00663922,3880171,2982923,-23.12392933
UT,560017,481753,-13.97529004,471641,389352,-17.44738053
VA,849473,589454,-30.60944845,730252,460731,-36.90794411
VT,69307,52093,-24.83731802,61329,43242,-29.49175757
WA,1421218,1138019,-19.92649966,1239234,945892,-23.67123562
WI,589679,472114,-19.93711833,527829,393978,-25.35878097
WV,149304,131414,-11.98226437,131846,114142,-13.42778696
WY,87424,82488,-5.646046852,75809,69237,-8.669155377
